n, title, url, people, views
1, 主頻道【谷阿莫】, https://www.youtube.com/channel/UC6IMF6xi_MZ3jA1wRlPQDLA/about, 1044930, 332293736 
2, 阿滴英文, https://www.youtube.com/channel/UCeo3JwE3HezUWFdVcehQk9Q/about, 896847, 41101100 
3, 超粒方, https://www.youtube.com/channel/UC0Q-fBheHysYWz9ObSEzMdA/about, 489238, 46816299 
4, Taiwan Bar, https://www.youtube.com/channel/UCRNsHFT7BFoAPBcuAa5sgEQ/about, 486773, 28552366 
5, 啾啾鞋, https://www.youtube.com/user/chuchushoeTW/about, 325579, 19303231 
6, 冏星人, https://www.youtube.com/channel/UC1tp9qN7mqIJ7CLVNVvsKzg/about, 294497, 13496118 
7, CCTV中国中央电视台, https://www.youtube.com/user/zhongguohaogequ/about, 178199, 106803632 
8, 优酷, https://www.youtube.com/channel/UCYQPTeY3HOk0BprrGuCWCaA/about, 156771, 60277559 
9, 罗辑思维官方频道 - Luogic Talkshow, https://www.youtube.com/user/logictalkshow/about, 154615, 22990967 
10, zass 17, https://www.youtube.com/channel/UCqE4UaBBTOpxP6JKN_uPGWw/about, 121644, 46728828 
